Group;Plate;Concentration;Compound;Condition;Row;Column;Counts;ConditionID;GroupID
G0 + G1;567;100;PFOA;PFOA:100;;1;13016;;
S;567;100;PFOA;PFOA:100;;1;1632;;
G2 + early M;567;100;PFOA;PFOA:100;;1;367;;
late M;567;100;PFOA;PFOA:100;;1;190;;
Small;567;100;PFOA;PFOA:100;;1;294;;
Large;567;100;PFOA;PFOA:100;;1;132;;
0:None;567;100;PFOA;PFOA:100;;1;21;;
G0 + G1;567;10;PFOA;PFOA:10;;2;11555;;
G2 + early M;567;10;PFOA;PFOA:10;;2;529;;
S;567;10;PFOA;PFOA:10;;2;1728;;
Small;567;10;PFOA;PFOA:10;;2;315;;
0:None;567;10;PFOA;PFOA:10;;2;26;;
late M;567;10;PFOA;PFOA:10;;2;243;;
Large;567;10;PFOA;PFOA:10;;2;84;;
G0 + G1;567;1;PFOA;PFOA:1;;3;10734;;
G2 + early M;567;1;PFOA;PFOA:1;;3;269;;
S;567;1;PFOA;PFOA:1;;3;1071;;
Small;567;1;PFOA;PFOA:1;;3;185;;
late M;567;1;PFOA;PFOA:1;;3;166;;
0:None;567;1;PFOA;PFOA:1;;3;22;;
Large;567;1;PFOA;PFOA:1;;3;98;;
G2 + early M;567;0,1;PFOA;PFOA:0,1;;4;446;;
S;567;0,1;PFOA;PFOA:0,1;;4;1433;;
0:None;567;0,1;PFOA;PFOA:0,1;;4;28;;
G0 + G1;567;0,1;PFOA;PFOA:0,1;;4;7032;;
Small;567;0,1;PFOA;PFOA:0,1;;4;234;;
late M;567;0,1;PFOA;PFOA:0,1;;4;127;;
Large;567;0,1;PFOA;PFOA:0,1;;4;55;;
G0 + G1;567;0,01;PFOA;PFOA:0,01;;5;11436;;
late M;567;0,01;PFOA;PFOA:0,01;;5;221;;
S;567;0,01;PFOA;PFOA:0,01;;5;1330;;
Small;567;0,01;PFOA;PFOA:0,01;;5;218;;
G2 + early M;567;0,01;PFOA;PFOA:0,01;;5;320;;
Large;567;0,01;PFOA;PFOA:0,01;;5;56;;
0:None;567;0,01;PFOA;PFOA:0,01;;5;27;;
G0 + G1;567;100;PFOS;PFOS:100;;6;11530;;
S;567;100;PFOS;PFOS:100;;6;1004;;
late M;567;100;PFOS;PFOS:100;;6;165;;
G2 + early M;567;100;PFOS;PFOS:100;;6;230;;
Small;567;100;PFOS;PFOS:100;;6;234;;
Large;567;100;PFOS;PFOS:100;;6;79;;
0:None;567;100;PFOS;PFOS:100;;6;21;;
G0 + G1;567;10;PFOS;PFOS:10;;7;10400;;
late M;567;10;PFOS;PFOS:10;;7;132;;
Small;567;10;PFOS;PFOS:10;;7;250;;
S;567;10;PFOS;PFOS:10;;7;436;;
G2 + early M;567;10;PFOS;PFOS:10;;7;145;;
0:None;567;10;PFOS;PFOS:10;;7;29;;
Large;567;10;PFOS;PFOS:10;;7;46;;
G0 + G1;567;1;PFOS;PFOS:1;;8;13165;;
S;567;1;PFOS;PFOS:1;;8;463;;
G2 + early M;567;1;PFOS;PFOS:1;;8;176;;
Small;567;1;PFOS;PFOS:1;;8;178;;
late M;567;1;PFOS;PFOS:1;;8;229;;
Large;567;1;PFOS;PFOS:1;;8;36;;
0:None;567;1;PFOS;PFOS:1;;8;6;;
G0 + G1;567;0,1;PFOS;PFOS:0,1;;9;12592;;
S;567;0,1;PFOS;PFOS:0,1;;9;1156;;
G2 + early M;567;0,1;PFOS;PFOS:0,1;;9;281;;
late M;567;0,1;PFOS;PFOS:0,1;;9;188;;
Small;567;0,1;PFOS;PFOS:0,1;;9;276;;
Large;567;0,1;PFOS;PFOS:0,1;;9;60;;
0:None;567;0,1;PFOS;PFOS:0,1;;9;18;;
G0 + G1;567;0,01;PFOS;PFOS:0,01;;10;9776;;
Small;567;0,01;PFOS;PFOS:0,01;;10;325;;
S;567;0,01;PFOS;PFOS:0,01;;10;1329;;
late M;567;0,01;PFOS;PFOS:0,01;;10;164;;
G2 + early M;567;0,01;PFOS;PFOS:0,01;;10;301;;
Large;567;0,01;PFOS;PFOS:0,01;;10;78;;
0:None;567;0,01;PFOS;PFOS:0,01;;10;26;;
G0 + G1;567;0;Control;Control:0;;11;12372;;
S;567;0;Control;Control:0;;11;1052;;
G2 + early M;567;0;Control;Control:0;;11;298;;
Small;567;0;Control;Control:0;;11;254;;
late M;567;0;Control;Control:0;;11;165;;
0:None;567;0;Control;Control:0;;11;24;;
Large;567;0;Control;Control:0;;11;99;;
G0 + G1;567;0;Control;Control:0;;12;13867;;
Small;567;0;Control;Control:0;;12;276;;
S;567;0;Control;Control:0;;12;1246;;
G2 + early M;567;0;Control;Control:0;;12;322;;
Large;567;0;Control;Control:0;;12;144;;
late M;567;0;Control;Control:0;;12;204;;
0:None;567;0;Control;Control:0;;12;25;;
G0 + G1;567;100;PFOA;PFOA:100;;1;12033;;
late M;567;100;PFOA;PFOA:100;;1;177;;
Small;567;100;PFOA;PFOA:100;;1;265;;
S;567;100;PFOA;PFOA:100;;1;1049;;
G2 + early M;567;100;PFOA;PFOA:100;;1;318;;
Large;567;100;PFOA;PFOA:100;;1;104;;
0:None;567;100;PFOA;PFOA:100;;1;22;;
G0 + G1;567;10;PFOA;PFOA:10;;2;12587;;
late M;567;10;PFOA;PFOA:10;;2;192;;
Large;567;10;PFOA;PFOA:10;;2;58;;
S;567;10;PFOA;PFOA:10;;2;746;;
G2 + early M;567;10;PFOA;PFOA:10;;2;245;;
Small;567;10;PFOA;PFOA:10;;2;184;;
0:None;567;10;PFOA;PFOA:10;;2;11;;
G0 + G1;567;1;PFOA;PFOA:1;;3;13111;;
S;567;1;PFOA;PFOA:1;;3;1314;;
G2 + early M;567;1;PFOA;PFOA:1;;3;334;;
Small;567;1;PFOA;PFOA:1;;3;305;;
late M;567;1;PFOA;PFOA:1;;3;207;;
Large;567;1;PFOA;PFOA:1;;3;169;;
0:None;567;1;PFOA;PFOA:1;;3;31;;
G0 + G1;567;0,1;PFOA;PFOA:0,1;;4;8192;;
late M;567;0,1;PFOA;PFOA:0,1;;4;146;;
S;567;0,1;PFOA;PFOA:0,1;;4;921;;
G2 + early M;567;0,1;PFOA;PFOA:0,1;;4;288;;
Small;567;0,1;PFOA;PFOA:0,1;;4;220;;
0:None;567;0,1;PFOA;PFOA:0,1;;4;27;;
Large;567;0,1;PFOA;PFOA:0,1;;4;53;;
G0 + G1;567;0,01;PFOA;PFOA:0,01;;5;10263;;
G2 + early M;567;0,01;PFOA;PFOA:0,01;;5;215;;
S;567;0,01;PFOA;PFOA:0,01;;5;664;;
Small;567;0,01;PFOA;PFOA:0,01;;5;167;;
late M;567;0,01;PFOA;PFOA:0,01;;5;225;;
Large;567;0,01;PFOA;PFOA:0,01;;5;51;;
0:None;567;0,01;PFOA;PFOA:0,01;;5;16;;
S;567;100;PFOS;PFOS:100;;6;385;;
G0 + G1;567;100;PFOS;PFOS:100;;6;9137;;
0:None;567;100;PFOS;PFOS:100;;6;27;;
Small;567;100;PFOS;PFOS:100;;6;111;;
late M;567;100;PFOS;PFOS:100;;6;107;;
G2 + early M;567;100;PFOS;PFOS:100;;6;135;;
Large;567;100;PFOS;PFOS:100;;6;38;;
G0 + G1;567;10;PFOS;PFOS:10;;7;9609;;
S;567;10;PFOS;PFOS:10;;7;290;;
late M;567;10;PFOS;PFOS:10;;7;146;;
0:None;567;10;PFOS;PFOS:10;;7;21;;
G2 + early M;567;10;PFOS;PFOS:10;;7;132;;
Small;567;10;PFOS;PFOS:10;;7;148;;
Large;567;10;PFOS;PFOS:10;;7;20;;
G0 + G1;567;1;PFOS;PFOS:1;;8;13189;;
Small;567;1;PFOS;PFOS:1;;8;172;;
G2 + early M;567;1;PFOS;PFOS:1;;8;172;;
late M;567;1;PFOS;PFOS:1;;8;220;;
S;567;1;PFOS;PFOS:1;;8;421;;
0:None;567;1;PFOS;PFOS:1;;8;13;;
Large;567;1;PFOS;PFOS:1;;8;45;;
Small;567;0,1;PFOS;PFOS:0,1;;9;228;;
G0 + G1;567;0,1;PFOS;PFOS:0,1;;9;12439;;
S;567;0,1;PFOS;PFOS:0,1;;9;775;;
0:None;567;0,1;PFOS;PFOS:0,1;;9;21;;
G2 + early M;567;0,1;PFOS;PFOS:0,1;;9;224;;
late M;567;0,1;PFOS;PFOS:0,1;;9;181;;
Large;567;0,1;PFOS;PFOS:0,1;;9;52;;
G0 + G1;567;0,01;PFOS;PFOS:0,01;;10;12367;;
Large;567;0,01;PFOS;PFOS:0,01;;10;70;;
Small;567;0,01;PFOS;PFOS:0,01;;10;251;;
G2 + early M;567;0,01;PFOS;PFOS:0,01;;10;304;;
S;567;0,01;PFOS;PFOS:0,01;;10;1134;;
late M;567;0,01;PFOS;PFOS:0,01;;10;202;;
0:None;567;0,01;PFOS;PFOS:0,01;;10;23;;
G0 + G1;567;0;Control;Control:0;;11;12962;;
S;567;0;Control;Control:0;;11;1727;;
0:None;567;0;Control;Control:0;;11;31;;
Small;567;0;Control;Control:0;;11;385;;
G2 + early M;567;0;Control;Control:0;;11;569;;
late M;567;0;Control;Control:0;;11;254;;
Large;567;0;Control;Control:0;;11;138;;
G0 + G1;567;0;Control;Control:0;;12;13215;;
Small;567;0;Control;Control:0;;12;284;;
late M;567;0;Control;Control:0;;12;189;;
G2 + early M;567;0;Control;Control:0;;12;318;;
S;567;0;Control;Control:0;;12;1162;;
Large;567;0;Control;Control:0;;12;103;;
0:None;567;0;Control;Control:0;;12;29;;
G0 + G1;567;100;PFOA;PFOA:100;;1;15383;;
late M;567;100;PFOA;PFOA:100;;1;260;;
S;567;100;PFOA;PFOA:100;;1;1176;;
Small;567;100;PFOA;PFOA:100;;1;290;;
G2 + early M;567;100;PFOA;PFOA:100;;1;286;;
Large;567;100;PFOA;PFOA:100;;1;121;;
0:None;567;100;PFOA;PFOA:100;;1;12;;
G0 + G1;567;10;PFOA;PFOA:10;;2;12802;;
G2 + early M;567;10;PFOA;PFOA:10;;2;237;;
S;567;10;PFOA;PFOA:10;;2;911;;
Small;567;10;PFOA;PFOA:10;;2;234;;
late M;567;10;PFOA;PFOA:10;;2;184;;
Large;567;10;PFOA;PFOA:10;;2;72;;
0:None;567;10;PFOA;PFOA:10;;2;14;;
G0 + G1;567;1;PFOA;PFOA:1;;3;14030;;
Small;567;1;PFOA;PFOA:1;;3;246;;
G2 + early M;567;1;PFOA;PFOA:1;;3;265;;
S;567;1;PFOA;PFOA:1;;3;894;;
late M;567;1;PFOA;PFOA:1;;3;237;;
Large;567;1;PFOA;PFOA:1;;3;105;;
0:None;567;1;PFOA;PFOA:1;;3;24;;
0:None;567;0,1;PFOA;PFOA:0,1;;4;20;;
G0 + G1;567;0,1;PFOA;PFOA:0,1;;4;10557;;
Small;567;0,1;PFOA;PFOA:0,1;;4;212;;
S;567;0,1;PFOA;PFOA:0,1;;4;600;;
G2 + early M;567;0,1;PFOA;PFOA:0,1;;4;185;;
Large;567;0,1;PFOA;PFOA:0,1;;4;50;;
late M;567;0,1;PFOA;PFOA:0,1;;4;183;;
G0 + G1;567;0,01;PFOA;PFOA:0,01;;5;13217;;
S;567;0,01;PFOA;PFOA:0,01;;5;547;;
late M;567;0,01;PFOA;PFOA:0,01;;5;204;;
G2 + early M;567;0,01;PFOA;PFOA:0,01;;5;193;;
Small;567;0,01;PFOA;PFOA:0,01;;5;207;;
Large;567;0,01;PFOA;PFOA:0,01;;5;58;;
0:None;567;0,01;PFOA;PFOA:0,01;;5;19;;
G0 + G1;567;100;PFOS;PFOS:100;;6;9740;;
Small;567;100;PFOS;PFOS:100;;6;173;;
G2 + early M;567;100;PFOS;PFOS:100;;6;155;;
late M;567;100;PFOS;PFOS:100;;6;184;;
S;567;100;PFOS;PFOS:100;;6;396;;
Large;567;100;PFOS;PFOS:100;;6;34;;
0:None;567;100;PFOS;PFOS:100;;6;10;;
G0 + G1;567;10;PFOS;PFOS:10;;7;13545;;
Small;567;10;PFOS;PFOS:10;;7;206;;
G2 + early M;567;10;PFOS;PFOS:10;;7;178;;
S;567;10;PFOS;PFOS:10;;7;396;;
late M;567;10;PFOS;PFOS:10;;7;208;;
Large;567;10;PFOS;PFOS:10;;7;43;;
0:None;567;10;PFOS;PFOS:10;;7;7;;
late M;567;1;PFOS;PFOS:1;;8;223;;
G0 + G1;567;1;PFOS;PFOS:1;;8;12498;;
Small;567;1;PFOS;PFOS:1;;8;194;;
G2 + early M;567;1;PFOS;PFOS:1;;8;173;;
S;567;1;PFOS;PFOS:1;;8;486;;
0:None;567;1;PFOS;PFOS:1;;8;10;;
Large;567;1;PFOS;PFOS:1;;8;38;;
G0 + G1;567;0,1;PFOS;PFOS:0,1;;9;13829;;
Small;567;0,1;PFOS;PFOS:0,1;;9;258;;
late M;567;0,1;PFOS;PFOS:0,1;;9;259;;
G2 + early M;567;0,1;PFOS;PFOS:0,1;;9;291;;
S;567;0,1;PFOS;PFOS:0,1;;9;872;;
Large;567;0,1;PFOS;PFOS:0,1;;9;71;;
0:None;567;0,1;PFOS;PFOS:0,1;;9;12;;
G0 + G1;567;0,01;PFOS;PFOS:0,01;;10;11416;;
S;567;0,01;PFOS;PFOS:0,01;;10;1418;;
G2 + early M;567;0,01;PFOS;PFOS:0,01;;10;436;;
late M;567;0,01;PFOS;PFOS:0,01;;10;253;;
Small;567;0,01;PFOS;PFOS:0,01;;10;312;;
0:None;567;0,01;PFOS;PFOS:0,01;;10;20;;
Large;567;0,01;PFOS;PFOS:0,01;;10;82;;
G0 + G1;567;0;Control;Control:0;;11;14690;;
late M;567;0;Control;Control:0;;11;262;;
G2 + early M;567;0;Control;Control:0;;11;382;;
S;567;0;Control;Control:0;;11;1399;;
Small;567;0;Control;Control:0;;11;275;;
Large;567;0;Control;Control:0;;11;87;;
0:None;567;0;Control;Control:0;;11;6;;
G0 + G1;567;0;Control;Control:0;;12;15855;;
late M;567;0;Control;Control:0;;12;252;;
S;567;0;Control;Control:0;;12;1642;;
Large;567;0;Control;Control:0;;12;155;;
Small;567;0;Control;Control:0;;12;424;;
G2 + early M;567;0;Control;Control:0;;12;437;;
0:None;567;0;Control;Control:0;;12;14;;
G0 + G1;567;100;PFBA;PFBA:100;;1;15550;;
G2 + early M;567;100;PFBA;PFBA:100;;1;400;;
S;567;100;PFBA;PFBA:100;;1;1325;;
Small;567;100;PFBA;PFBA:100;;1;434;;
0:None;567;100;PFBA;PFBA:100;;1;12;;
Large;567;100;PFBA;PFBA:100;;1;133;;
late M;567;100;PFBA;PFBA:100;;1;269;;
G0 + G1;567;10;PFBA;PFBA:10;;2;14496;;
S;567;10;PFBA;PFBA:10;;2;960;;
G2 + early M;567;10;PFBA;PFBA:10;;2;316;;
late M;567;10;PFBA;PFBA:10;;2;198;;
Small;567;10;PFBA;PFBA:10;;2;219;;
Large;567;10;PFBA;PFBA:10;;2;69;;
0:None;567;10;PFBA;PFBA:10;;2;9;;
G0 + G1;567;1;PFBA;PFBA:1;;3;15135;;
S;567;1;PFBA;PFBA:1;;3;973;;
G2 + early M;567;1;PFBA;PFBA:1;;3;336;;
Small;567;1;PFBA;PFBA:1;;3;294;;
Large;567;1;PFBA;PFBA:1;;3;110;;
late M;567;1;PFBA;PFBA:1;;3;244;;
0:None;567;1;PFBA;PFBA:1;;3;13;;
G0 + G1;567;0,1;PFBA;PFBA:0,1;;4;12139;;
S;567;0,1;PFBA;PFBA:0,1;;4;700;;
0:None;567;0,1;PFBA;PFBA:0,1;;4;15;;
late M;567;0,1;PFBA;PFBA:0,1;;4;189;;
G2 + early M;567;0,1;PFBA;PFBA:0,1;;4;219;;
Large;567;0,1;PFBA;PFBA:0,1;;4;62;;
Small;567;0,1;PFBA;PFBA:0,1;;4;221;;
G0 + G1;567;0,01;PFBA;PFBA:0,01;;5;12913;;
late M;567;0,01;PFBA;PFBA:0,01;;5;203;;
Small;567;0,01;PFBA;PFBA:0,01;;5;238;;
S;567;0,01;PFBA;PFBA:0,01;;5;874;;
G2 + early M;567;0,01;PFBA;PFBA:0,01;;5;270;;
Large;567;0,01;PFBA;PFBA:0,01;;5;65;;
0:None;567;0,01;PFBA;PFBA:0,01;;5;9;;
G0 + G1;567;100;PFBS;PFBS:100;;6;10898;;
S;567;100;PFBS;PFBS:100;;6;804;;
0:None;567;100;PFBS;PFBS:100;;6;84;;
G2 + early M;567;100;PFBS;PFBS:100;;6;251;;
Small;567;100;PFBS;PFBS:100;;6;226;;
Large;567;100;PFBS;PFBS:100;;6;61;;
late M;567;100;PFBS;PFBS:100;;6;178;;
G0 + G1;567;10;PFBS;PFBS:10;;7;15180;;
G2 + early M;567;10;PFBS;PFBS:10;;7;269;;
Small;567;10;PFBS;PFBS:10;;7;245;;
S;567;10;PFBS;PFBS:10;;7;881;;
late M;567;10;PFBS;PFBS:10;;7;217;;
0:None;567;10;PFBS;PFBS:10;;7;11;;
Large;567;10;PFBS;PFBS:10;;7;85;;
G0 + G1;567;1;PFBS;PFBS:1;;8;13639;;
S;567;1;PFBS;PFBS:1;;8;902;;
G2 + early M;567;1;PFBS;PFBS:1;;8;290;;
late M;567;1;PFBS;PFBS:1;;8;228;;
Small;567;1;PFBS;PFBS:1;;8;208;;
0:None;567;1;PFBS;PFBS:1;;8;12;;
Large;567;1;PFBS;PFBS:1;;8;61;;
G0 + G1;567;0,1;PFBS;PFBS:0,1;;9;14527;;
Small;567;0,1;PFBS;PFBS:0,1;;9;309;;
G2 + early M;567;0,1;PFBS;PFBS:0,1;;9;362;;
late M;567;0,1;PFBS;PFBS:0,1;;9;277;;
S;567;0,1;PFBS;PFBS:0,1;;9;1145;;
Large;567;0,1;PFBS;PFBS:0,1;;9;59;;
0:None;567;0,1;PFBS;PFBS:0,1;;9;8;;
G0 + G1;567;0,01;PFBS;PFBS:0,01;;10;14863;;
late M;567;0,01;PFBS;PFBS:0,01;;10;271;;
G2 + early M;567;0,01;PFBS;PFBS:0,01;;10;284;;
S;567;0,01;PFBS;PFBS:0,01;;10;900;;
Small;567;0,01;PFBS;PFBS:0,01;;10;236;;
0:None;567;0,01;PFBS;PFBS:0,01;;10;4;;
Large;567;0,01;PFBS;PFBS:0,01;;10;72;;
G0 + G1;567;0;Control;Control:0;;11;13784;;
late M;567;0;Control;Control:0;;11;247;;
Small;567;0;Control;Control:0;;11;379;;
S;567;0;Control;Control:0;;11;1665;;
G2 + early M;567;0;Control;Control:0;;11;556;;
Large;567;0;Control;Control:0;;11;98;;
0:None;567;0;Control;Control:0;;11;16;;
G0 + G1;567;0;Control;Control:0;;12;12877;;
Small;567;0;Control;Control:0;;12;440;;
S;567;0;Control;Control:0;;12;1791;;
late M;567;0;Control;Control:0;;12;233;;
G2 + early M;567;0;Control;Control:0;;12;617;;
Large;567;0;Control;Control:0;;12;129;;
0:None;567;0;Control;Control:0;;12;29;;
S;567;100;PFBA;PFBA:100;;1;1824;;
G0 + G1;567;100;PFBA;PFBA:100;;1;16573;;
Small;567;100;PFBA;PFBA:100;;1;548;;
G2 + early M;567;100;PFBA;PFBA:100;;1;480;;
late M;567;100;PFBA;PFBA:100;;1;295;;
Large;567;100;PFBA;PFBA:100;;1;173;;
0:None;567;100;PFBA;PFBA:100;;1;24;;
G0 + G1;567;10;PFBA;PFBA:10;;2;14617;;
S;567;10;PFBA;PFBA:10;;2;1590;;
late M;567;10;PFBA;PFBA:10;;2;223;;
G2 + early M;567;10;PFBA;PFBA:10;;2;461;;
Small;567;10;PFBA;PFBA:10;;2;354;;
Large;567;10;PFBA;PFBA:10;;2;97;;
0:None;567;10;PFBA;PFBA:10;;2;16;;
Small;567;1;PFBA;PFBA:1;;3;399;;
G0 + G1;567;1;PFBA;PFBA:1;;3;16778;;
late M;567;1;PFBA;PFBA:1;;3;305;;
S;567;1;PFBA;PFBA:1;;3;1299;;
G2 + early M;567;1;PFBA;PFBA:1;;3;389;;
Large;567;1;PFBA;PFBA:1;;3;118;;
0:None;567;1;PFBA;PFBA:1;;3;9;;
G2 + early M;567;0,1;PFBA;PFBA:0,1;;4;262;;
G0 + G1;567;0,1;PFBA;PFBA:0,1;;4;13954;;
S;567;0,1;PFBA;PFBA:0,1;;4;1076;;
late M;567;0,1;PFBA;PFBA:0,1;;4;220;;
Small;567;0,1;PFBA;PFBA:0,1;;4;325;;
Large;567;0,1;PFBA;PFBA:0,1;;4;86;;
0:None;567;0,1;PFBA;PFBA:0,1;;4;6;;
G0 + G1;567;0,01;PFBA;PFBA:0,01;;5;14673;;
Small;567;0,01;PFBA;PFBA:0,01;;5;394;;
G2 + early M;567;0,01;PFBA;PFBA:0,01;;5;401;;
S;567;0,01;PFBA;PFBA:0,01;;5;1515;;
late M;567;0,01;PFBA;PFBA:0,01;;5;266;;
0:None;567;0,01;PFBA;PFBA:0,01;;5;18;;
Large;567;0,01;PFBA;PFBA:0,01;;5;105;;
G0 + G1;567;100;PFBS;PFBS:100;;6;9820;;
S;567;100;PFBS;PFBS:100;;6;1281;;
G2 + early M;567;100;PFBS;PFBS:100;;6;360;;
0:None;567;100;PFBS;PFBS:100;;6;45;;
late M;567;100;PFBS;PFBS:100;;6;171;;
Small;567;100;PFBS;PFBS:100;;6;273;;
Large;567;100;PFBS;PFBS:100;;6;72;;
G0 + G1;567;10;PFBS;PFBS:10;;7;17084;;
G2 + early M;567;10;PFBS;PFBS:10;;7;376;;
S;567;10;PFBS;PFBS:10;;7;1396;;
Small;567;10;PFBS;PFBS:10;;7;385;;
late M;567;10;PFBS;PFBS:10;;7;308;;
Large;567;10;PFBS;PFBS:10;;7;102;;
0:None;567;10;PFBS;PFBS:10;;7;7;;
G0 + G1;567;1;PFBS;PFBS:1;;8;16256;;
G2 + early M;567;1;PFBS;PFBS:1;;8;421;;
late M;567;1;PFBS;PFBS:1;;8;303;;
S;567;1;PFBS;PFBS:1;;8;1981;;
Small;567;1;PFBS;PFBS:1;;8;528;;
Large;567;1;PFBS;PFBS:1;;8;137;;
0:None;567;1;PFBS;PFBS:1;;8;18;;
Small;567;0,1;PFBS;PFBS:0,1;;9;377;;
G0 + G1;567;0,1;PFBS;PFBS:0,1;;9;16027;;
S;567;0,1;PFBS;PFBS:0,1;;9;1419;;
G2 + early M;567;0,1;PFBS;PFBS:0,1;;9;358;;
late M;567;0,1;PFBS;PFBS:0,1;;9;302;;
Large;567;0,1;PFBS;PFBS:0,1;;9;80;;
0:None;567;0,1;PFBS;PFBS:0,1;;9;11;;
G0 + G1;567;0,01;PFBS;PFBS:0,01;;10;17165;;
late M;567;0,01;PFBS;PFBS:0,01;;10;301;;
S;567;0,01;PFBS;PFBS:0,01;;10;1568;;
G2 + early M;567;0,01;PFBS;PFBS:0,01;;10;360;;
